Tracking Number,Delivery Status, Recieved By,Date of Latest Scan
394940539699,Departed FedEx location,,
394940540876,Departed FedEx location,,
394940541574,Departed FedEx location,,
394940542423,Departed FedEx location,,
771473845256,Shipment information sent to FedEx,,
394940543544,Departed FedEx location,,
394940544460,Departed FedEx location,,
394940545856,Departed FedEx location,,
394940546565,Departed FedEx location,,
394940546749,Arrived at FedEx location,,
394940548741,Departed FedEx location,,
771473846105,Shipment information sent to FedEx,,
